Actual,Predicted
308.6,419.1249451111895
408.6,244.98600642561863
111.98,75.74279278752576
278.6,322.6239347783137
178.6,215.72502198185822
218.6,215.72622751101008
128.6,117.76380794808334
83.98,82.16282283351806
778.6,423.1839651770381
368.6,278.0617395363078
278.6,451.7213100084702
528.6,489.2864609581639
278.6,309.4301158582309
378.6,412.31077858518495
498.6,479.40448303115636
198.6,189.0292940551864
222.6,229.81367215041425
168.61,176.81034930225934
318.6,285.519453033374
98.6,166.0549559708783
398.6,409.98733948751493
171.6,167.87588835930217
948.6,330.4063292832292
308.6,218.59117711933362
178.6,245.0740104665035
153.6,165.13170905520826
316.6,283.25675234028427
388.6,361.79867437397604
106.99,99.89919549844566
378.6,388.26112986554466
398.6,393.7206947715411
338.61,233.12104673596025
598.61,602.3402780026213
214.98,216.186316200905
108.6,177.6469599775868
313.6,396.61927631081426
148.6,179.0968770701078
228.6,180.2812502190239
278.6,275.9015991112463
198.6,227.9548120877841
298.6,216.26184663408188
63.99,66.67044061721512
183.6,179.93433270505705
143.99,77.65039849344997
244.6,223.31576631794167
173.6,217.2042052759064
202.6,224.74967093141774
228.6,195.4815663883205
238.6,279.34383507390544
408.6,416.6205100450998
168.61,214.3975772673935
238.6,186.81658588397218
398.6,363.0782461383519
318.6,354.5167055434424
268.6,159.99208511475007
268.6,230.12228278056293
418.6,204.46432648945523
148.6,179.0267355240335
378.6,372.8069649751591
568.59,412.95432429360716
358.6,361.5924340503759
418.6,219.69161642197574
212.6,249.45497063223323
458.6,467.8551941635591
418.52,240.59284499809593
178.6,215.72502198185822
418.6,288.7907553961436
238.6,220.96578702683556
208.61,175.24759781918897
259.6,251.41308924414616
285.6,272.42626871218465
88.6,204.46432648945523
358.6,282.23735919679876
173.6,243.21579845932567
308.6,216.26184663408188
258.6,260.5692101475019
138.6,177.57377609907746
148.6,188.86127500822337
148.6,196.67288141350542
238.6,268.5323034517569
518.6,423.78578697124317
139.6,237.86504130966503
248.6,311.74626286190727
148.6,242.58364751257253
244.6,271.8859133338922
158.6,231.33216323832698
285.6,272.49179994133124
208.6,216.26184663408188
528.6,412.1751219511716
258.6,196.59695558295326
103.6,216.3057787504615
135.6,216.26184663408188
193.6,256.71720976537233
148.6,225.1185315957756
408.6,443.4404498344123
138.6,290.5050975119707
151.6,261.52266438140856
408.6,300.9194182652916
98.6,182.2796635186753
223.6,204.46432648945523
268.59,224.2278650217285
285.6,296.2885164642052
168.59,216.26184663408188
252.61,236.4614636684325
168.61,193.30606056194304
398.6,376.46278222708867
140.6,226.73386153683285
162.6,226.86596799090412
368.6,258.051776270364
244.6,223.35372706219977
328.6,292.4147626275508
128.6,178.28732310791457
244.6,245.48929712954632
198.6,216.28237631331882
258.6,191.91941561808352
328.6,231.53096861671023
73.98,127.91705533447268
358.6,358.50314177128394
238.6,232.62691863262106
408.6,412.95433492951264
388.6,421.25821442844017
238.6,160.2946715002027
398.6,376.07286438300355
198.6,202.9453744224437
268.6,192.89907402100403
278.6,219.13157395059136
208.61,237.45490800053037
258.6,245.84505508585363
358.6,352.1697838279449
71.6,192.67483780523997
215.6,193.08084040823084
218.6,222.594707914205
238.6,257.9749291407424
368.6,192.64419257294426
298.6,204.64267637769524
463.6,218.55118680703006
338.61,167.51042796195227
209.35,214.8798234766808
288.61,271.8434666472796
358.6,202.6639853988258
428.6,413.7715143215271
202.6,233.12104673596025
378.6,433.06568940476524
103.6,214.9594867725225
483.24,189.93262293727955
318.6,270.14114366802846
168.61,193.43644100798716
298.6,282.11265573675706
378.6,249.41941929666243
108.6,177.0019672695972
218.6,229.9543429907797
285.6,318.73804660333514
